user_id,name,email,age
U001,Jane Doe,jane@example.com,28
U002,John Smith,john@example.com,34
U003,Alice Johnson,alice@example.com,25
U004,Bob Brown,bob@example.com,42
U005,Clara West,clara@example.com,31
U006,David Lee,david@example.com,38
U007,Emily Clark,emily@example.com,29
U008,Frank White,frank@example.com,45
U009,Gina Hall,gina@example.com,26
U010,Henry Adams,henry@example.com,36
U011,Ivy Green,ivy@example.com,30
U012,Jack Black,jack@example.com,41
U013,Karen Brooks,karen@example.com,33
U014,Liam King,liam@example.com,27
U015,Mia Scott,mia@example.com,24
